id,name,price,availability
1,Classic Milk Tea,4.79,True
2,Brown Sugar Milk Tea,5.29,True
3,Thai Milk Tea,4.99,True
4,Taro Milk Tea,5.19,True
5,Matcha Latte,5.49,True
6,Jasmine Green Milk Tea,4.89,True
7,Oolong Milk Tea,4.89,True
8,Honeydew Milk Tea,5.19,True
9,Mango Green Tea,4.99,True
10,Strawberry Green Tea,4.99,True
11,Passionfruit Black Tea,4.89,True
12,Peach Oolong Tea,4.89,True
13,Lychee Slush,5.29,True
14,Mango Slush,5.29,True
15,Coffee Milk Tea,5.09,True
16,Wintermelon Milk Tea,4.99,True
